text,intent
Привет,greeting
Здравствуйте рад вас видеть,greeting
Доброе утро,greeting
Хай давно не виделись,greeting
Здарова как жизнь,greeting
Добрый вечер чем занимаешься,greeting
Салют есть новости,greeting
Здравствуйте извините за беспокойство,greeting
Приветик ты тут,greeting
Йо братан как оно,greeting
Доброго времени суток коллеги,greeting
Хэллоу можно вопрос,greeting
Приветствую начальник,greeting
Здрасте я по делу,greeting
О привет а я тебя ищу,greeting
Добрый день подскажите пожалуйста,greeting
Хай хай как настроение,greeting
Здорово что ты онлайн,greeting
Привет привет не ожидал тебя тут увидеть,greeting
Здравствуйте соедините меня с отделом продаж,greeting
Салам алейкум мир вашему дому,greeting
Доброе утро кофе будешь,greeting
Вечер в хату как дела,greeting
Привет это снова я,greeting
Здравствуйте я по записи,greeting
Хай есть минутка поговорить,greeting
Дратути как сам,greeting
Привет я вернулся,greeting
Здравствуйте меня зовут Алексей,greeting
О это ты привет,greeting
Доброго здоровья бабушка,greeting
Приветствую всех участников чата,greeting
Здарова заходи в гости,greeting
Хеллоу это Джон из службы поддержки,greeting
Добрый день вы мне звонили,greeting
Привет как самочувствие,greeting
Здравствуйте я хочу сделать заказ,greeting
Салют погнали играть,greeting
Хай соскучился,greeting
Привет прием слышно меня,greeting
Приветики-пистолетики,greeting
Здравия желаю,greeting
Шалом,greeting
Добрейший вечерочек,greeting
Рад нашей встрече,greeting
Ку,greeting
Эй есть кто живой,greeting
Мир вашему дому,greeting
Доброго дня и хорошего настроения,greeting
Какие люди,greeting
Наше вам с кисточкой,greeting
Хей-хо,greeting
Приветствую почтенную публику,greeting
Нихао,greeting
С добрым утром,greeting
Какие новости с полей,greeting
Бонжур,greeting
Примите мои приветствия,greeting
Алоха,greeting
Снова здравствуйте,greeting
Пока до свидания,farewell
До встречи,farewell
Удачи,farewell
Всего хорошего,farewell
Давай прощай,farewell
Счастливо,farewell
До завтра,farewell
Покеда,farewell
Бывай,farewell
До скорого,farewell
Увидимся позже,farewall
Всего доброго,farewell
Спокойной ночи,farewell
Ладно я пошел пока,farewell
До связи,farewell
Чао,farewell
Аривидерчи,farewell
Пока пока,farewell
Прощайте,farewell
Разрешите откланяться,farewell
Ну всё отключаюсь,farewell
До вечера,farewell
Счастливого пути,farewell
Будь здоров,farewell
Хорошего дня,farewell
Ну давай не болей,farewell
Удачи тебе во всем,farewell
Всем пока я выхожу,farewell
До скорой встречи,farewell
Еще увидимся,farewell
Гуд бай,farewell
Отключаюсь всем спасибо за внимание,farewell
Пока удачной охоты,farewell
До завтра на работе,farewell
Ну всё отбой,farewell
Ладно погнал пока,farewell
До связи хорошего вечера,farewall
Салют пока,farewell
До свидания спасибо за помощь,farewell
Пока не скучай,farewell
Чао какао,farewell
Ну я пошел,farewell
Были рады пообщаться,farewell
Счастливо оставаться,farewell
До новых встреч в эфире,farewell
Ушел в закат,farewell
Кончаю связь,farewell
Береги себя,farewell
До созвона,farewell
Погнали дальше,farewell
Не поминайте лихом,farewell
Я на боковую,farewell
Разбегаемся,farewell
Увидимся в следующем году,farewell
До скорой связи,farewell
Пока всем в этом чате,farewell
Всё я оффлайн,farewell
Счастливо отдохнуть,farewell
