text,intent
Привет,greeting
Здравствуйте рад вас видеть,greeting
Доброе утро,greeting
Хай давно не виделись,greeting
Здарова как жизнь,greeting
Добрый вечер чем занимаешься,greeting
Салют есть новости,greeting
Здравствуйте извините за беспокойство,greeting
Приветик ты тут,greeting
Йо братан как оно,greeting
Доброго времени суток коллеги,greeting
Хэллоу можно вопрос,greeting
Приветствую начальник,greeting
Здрасте я по делу,greeting
О привет а я тебя ищу,greeting
Добрый день подскажите пожалуйста,greeting
Хай хай как настроение,greeting
Здорово что ты онлайн,greeting
Привет привет не ожидал тебя тут увидеть,greeting
Здравствуйте соедините меня с отделом продаж,greeting
Салам алейкум мир вашему дому,greeting
Доброе утро кофе будешь,greeting
Вечер в хату как дела,greeting
Привет это снова я,greeting
Здравствуйте я по записи,greeting
Хай есть минутка поговорить,greeting
Дратути как сам,greeting
Привет я вернулся,greeting
Здравствуйте меня зовут Алексей,greeting
О это ты привет,greeting
Доброго здоровья бабушка,greeting
Приветствую всех участников чата,greeting
Здарова заходи в гости,greeting
Хеллоу это Джон из службы поддержки,greeting
Добрый день вы мне звонили,greeting
Привет как самочувствие,greeting
Здравствуйте я хочу сделать заказ,greeting
Салют погнали играть,greeting
Хай соскучился,greeting
Привет прием слышно меня,greeting
Приветики-пистолетики,greeting
Здравия желаю,greeting
Шалом,greeting
Добрейший вечерочек,greeting
Рад нашей встрече,greeting
Ку,greeting
Эй есть кто живой,greeting
Мир вашему дому,greeting
Доброго дня и хорошего настроения,greeting
Какие люди,greeting
Наше вам с кисточкой,greeting
Хей-хо,greeting
Приветствую почтенную публику,greeting
Нихао,greeting
С добрым утром,greeting
Какие новости с полей,greeting
Бонжур,greeting
Примите мои приветствия,greeting
Алоха,greeting
Снова здравствуйте,greeting
привет бот,greeting
здравствуй дорогой,greeting
добрый день всем,greeting
хай как жизнь,greeting
приветик бот,greeting
здорово дружище,greeting
салют как оно,greeting
доброе утро страна,greeting
вечер добрый,greeting
приветствую тебя программа,greeting
йо как дела,greeting
хэллоу май френд,greeting
здравствуйте мои золотые,greeting
приветствую вас,greeting
доброго времени суток,greeting
приветики,greeting
здрасьте,greeting
хай бот,greeting
привет ботяра,greeting
добрый вечер всем в этом чате,greeting
салам алейкум,greeting
привет как успехи,greeting
доброе утро всем,greeting
хэй привет,greeting
здравствуй бот,greeting
привет еще раз,greeting
здравия желаю,greeting
доброго утра,greeting
привет ботик,greeting
приветствую,greeting
привет че делаешь,greeting
здравствуйте приятно познакомиться,greeting
хай как настроение,greeting
добрый день рад видеть,greeting
привет мир,greeting
добрый вечорочек,greeting
здарова как сам,greeting
привет ты тут,greeting
хэллоу,greeting
приветствую почтенную публику,greeting
здрасте мордасте,greeting
привет это я,greeting
доброго дня,greeting
привет есть минутка,greeting
здравствуй как поживаешь,greeting
привет рад тебя слышать,greeting
доброе утро бот,greeting
приветствую всех,greeting
здорово как делишки,greeting
привет бот как ты,greeting
хай,greeting
привет всем,greeting
здравствуйте,greeting
добрый день,greeting
привет,greeting
добрый вечер,greeting
привет дружок,greeting
приветствую тебя,greeting
здравия,greeting
хэллоу бот,greeting
Пока до свидания,farewell
До встречи,farewell
Удачи,farewell
